Method,Sensitivity (%),Specificity (%),Accuracy (%),F1 Score (%),MCC (%),auROC (%)
CAMP-ANN,61.05,78.26,69.65,66.8,39.9,69.65
CAMP-DA,83.99,35.01,59.5,67.47,21.79,59.5
CAMP-RF,74.79,35.72,55.26,62.57,11.42,55.26
CAMP-SVM,79.57,48.03,63.8,68.73,29.08,63.8
AmPEP,78.61,87.22,82.92,82.15,66.08,91.1
Veltri-DNN,87.1,56.99,72.04,75.7,46.23,72.04
BERT - DNN,85.07,90.08,87.57,87.25,75.24,95.72
BERT BFD - DNN,88.77,88.53,88.65,88.66,77.3,95.43
T5XL UNI - DNN,89.61,93.43,91.52,91.35,83.1,97.08
T5XL BFD - DNN,88.41,89.61,89.01,88.94,78.02,95.94
XLNET - DNN,83.15,88.77,85.96,85.56,72.04,94.01
PTCLPAMP,92.47,95.82,94.15,94.05,88.34,97.2
